"Symb","Proportion","Orders","Buys","AtAsk","AtBid","NetPrems","PremsChng","AvgExpD","OTM%","OTMScore","Unusual%","SpotChng","Ivol%"
"SPX","33%","288","50.0","143.36M","91.19M","52.17M","19.6%","31.3","50.0%","1.5","0.5","0","26.41"
"TSLA","70%","4558","52.5","289.92M","267.51M","22.41M","-13362.0%","29.2","51.9%","5.5","1.0","0","81.11"
"META","64%","352","45.5","26.03M","20.72M","5.31M","70.7%","107.6","38.9%","15.6","0.3","0","46.61"
"BABA","83%","165","66.7","8.01M","3.93M","4.08M","100.0%","78.6","66.7%","10.8","1.9","0","51.27"
"NVDA","51%","589","53.3","37.27M","33.37M","3.90M","56.7%","39.0","52.3%","6.3","0.7","0","59.42"
"PTON","36%","5","40.0","4.02M","287.78K","3.73M","100.0%","348.2","40.0%","32.1","0.1","0","83.16"
"SLV","76%","56","50.0","3.81M","2.09M","1.72M","100.0%","239.3","50.0%","10.9","1.1","0","30.63"
"PCT","43%","3","66.7","1.64M","26.79K","1.62M","-11680.9%","180.7","66.7%","37.6","2.5","0","110.12"
"GLD","52%","24","41.7","2.96M","1.40M","1.56M","100.0%","71.0","41.7%","1","0.4","0","15.09"
"SQQQ","94%","87","57.5","3.59M","2.06M","1.53M","-18.8%","32.6","56.3%","2.1","0.8","0","89.72"
"FXI","78%","18","61.1","1.69M","271.75K","1.42M","100.0%","33.3","61.1%","6.4","1.2","0","30.86"
"GOOG","57%","414","51.4","15.43M","14.02M","1.41M","100.0%","148.9","51.4%","10","1.4","0","40.46"
"NFLX","70%","109","46.8","8.03M","6.75M","1.28M","48.6%","16.9","46.8%","1.5","0.6","0","43.23"
"BOIL","100%","15","73.3","1.77M","603.02K","1.16M","-283.4%","198.9","73.3%","29.9","1.4","0","150.28"
"SBUX","50%","3","100.0","1.10M","0.00","1.10M","-51.0%","141.0","100.0%","0","0.1","0","27.2"
"XLF","47%","14","85.7","1.11M","74.85K","1.04M","20.6%","224.5","85.7%","4","1.6","0","19.47"
"BP","57%","50","56.0","2.19M","1.31M","882.09K","100.0%","174.5","56.0%","-4","2.4","0","30.84"
"TECK","93%","13","84.6","1.07M","225.59K","847.25K","100.0%","38.2","84.6%","1.7","7.9","0","43.72"
"PDD","62%","23","65.2","1.53M","706.27K","819.38K","29.7%","81.7","65.2%","15.8","0.8","0","59.05"
"GSK","55%","6","66.7","868.41K","92.08K","776.33K","100.0%","103.7","66.7%","4.6","4.0","0","22.7"
"AVGO","92%","11","72.7","1.41M","637.58K","774.06K","100.0%","74.8","72.7%","2.9","2.0","0","30.31"
"OVV","100%","17","58.8","1.13M","363.60K","767.54K","100.0%","324.2","58.8%","8.5","5.6","0","48.18"
"AMGN","43%","3","100.0","748.30K","0.00","748.30K","100.0%","162.0","100.0%","3.1","0.6","0","20.41"
"GOLD","68%","13","53.8","1.08M","338.75K","742.88K","-256.6%","216.9","53.8%","0.3","0.7","0","38.6"
"NUE","55%","6","100.0","720.36K","0.00","720.36K","100.0%","136.3","100.0%","1.6","3.3","0","37.19"
"KRE","22%","2","100.0","695.99K","0.00","695.99K","-149.8%","67.5","100.0%","2.1","0.7","0","25.46"
"VERU","62%","5","80.0","749.05K","63.12K","685.93K","-5701.6%","36.0","80.0%","15.8","5.0","0","179.75"
"LYFT","85%","73","54.8","3.10M","2.42M","679.28K","-229.0%","42.4","54.8%","12.1","4.3","0","179.81"
"PWR","60%","6","100.0","649.95K","0.00","649.95K","-1225.3%","88.5","100.0%","5.7","15.0","0","31.73"
"HYG","17%","5","80.0","746.50K","114.00K","632.50K","100.0%","17.8","80.0%","0.6","0.7","0","11.55"
"EWZ","24%","13","69.2","813.57K","192.42K","621.15K","-7.4%","150.2","69.2%","8","0.5","0","36.69"
"ABNB","48%","11","63.6","854.56K","238.17K","616.39K","-8153.6%","38.5","63.6%","2","0.6","0","61.01"
"MGM","88%","21","71.4","906.14K","301.17K","604.97K","100.0%","44.3","71.4%","-3.2","5.8","0","36.2"
"WDAY","20%","1","100.0","584.00K","0.00","584.00K","100.0%","127.0","100.0%","4.9","0.5","0","41.68"
"LRCX","35%","6","83.3","720.92K","147.63K","573.29K","100.0%","17.3","83.3%","0.8","1.3","0","42.6"
"FCX","43%","9","88.9","614.56K","97.00K","517.56K","34.9%","253.8","88.9%","14.2","0.4","0","42.79"
"COP","71%","5","60.0","597.05K","99.48K","497.57K","-111.7%","92.0","60.0%","4.2","0.3","0","34.24"
"CROX","43%","6","66.7","580.80K","101.83K","478.97K","-190.0%","76.8","66.7%","7.3","2.2","0","76.42"
"PYPL","35%","62","45.2","2.64M","2.17M","471.63K","13.0%","49.4","45.2%","2.7","1.0","0","93.92"
"AFRM","33%","29","55.2","1.48M","1.02M","465.44K","-317.3%","84.8","55.2%","-1.2","0.7","0","123.19"
"BRK/B","46%","6","66.7","558.41K","120.13K","438.29K","-72.8%","188.8","66.7%","13.4","0.5","0","22.79"
"AA","42%","8","75.0","511.44K","88.76K","422.68K","-669.9%","117.4","75.0%","-0.3","2.3","0","53.48"
"XLC","69%","9","77.8","513.67K","99.12K","414.56K","-427.9%","197.8","77.8%","8.9","3.5","0","24.84"
"TLT","26%","20","60.0","1.09M","678.91K","411.25K","100.0%","31.4","60.0%","0.5","0.4","0","17.83"
"DAL","54%","7","28.6","542.36K","144.86K","397.50K","-443.0%","115.0","28.6%","5.4","0.4","0","33.87"
"EEM","60%","9","77.8","472.92K","84.09K","388.83K","44.7%","58.6","77.8%","1.2","0.5","0","21.21"
"BK","60%","3","100.0","383.38K","0.00","383.38K","-2478.5%","395.3","100.0%","9.2","3.0","0","24.48"
"SNOW","42%","42","54.8","1.37M","1.01M","359.50K","-18.7%","16.7","54.8%","5","0.9","0","70.99"
"ORCL","75%","9","66.7","440.94K","95.45K","345.49K","100.0%","31.3","66.7%","0.5","1.3","0","28.2"
"MCHP","89%","8","62.5","474.29K","129.13K","345.16K","-75.0%","248.6","62.5%","20.8","1.7","0","34.48"
"URI","20%","1","100.0","345.00K","0.00","345.00K","62.0%","708.0","100.0%","44.8","0.3","0","32.45"
"IBB","40%","2","100.0","339.60K","0.00","339.60K","-615.0%","71.0","100.0%","0.8","1.4","0","22.09"
"COF","89%","8","62.5","423.58K","91.32K","332.26K","-76.7%","25.5","62.5%","-4.1","0.7","0","35.42"
"SMH","28%","7","85.7","371.81K","43.00K","328.81K","47.4%","108.0","85.7%","20.9","0.7","0","35.43"
"CAR","60%","3","100.0","308.80K","0.00","308.80K","-33.5%","26.7","100.0%","18","0.4","0","105.26"
"FTCH","80%","4","75.0","362.69K","54.51K","308.18K","100.0%","39.5","50.0%","4.3","5.0","0","97.36"
"ZS","78%","7","57.1","546.76K","242.60K","304.16K","100.0%","61.0","57.1%","15.5","0.5","0","62.47"
"TPR","43%","3","100.0","289.49K","0.00","289.49K","-1124.1%","190.0","100.0%","15.4","1.9","0","63.03"
"GS","30%","6","66.7","414.45K","125.78K","288.67K","100.0%","52.3","66.7%","1.4","0.8","0","26.14"
"MS","53%","9","77.8","440.90K","152.63K","288.27K","100.0%","134.8","77.8%","4","0.7","0","25.74"
"UBER","68%","100","53.0","4.26M","3.97M","287.48K","100.0%","93.4","47.0%","1.6","0.7","0","51.17"
"USO","100%","7","85.7","415.56K","131.00K","284.56K","100.0%","50.0","85.7%","5.9","1.2","0","33.91"
"MARA","56%","28","60.7","734.56K","461.28K","273.28K","-8344.6%","72.3","60.7%","93.6","1.2","0","148.24"
"VZ","59%","10","70.0","402.90K","143.30K","259.60K","100.0%","218.7","70.0%","-3","1.5","0","23.41"
"BIDU","54%","15","60.0","762.97K","507.28K","255.69K","76.2%","40.7","60.0%","13.5","0.2","0","62.55"
"BHC","38%","3","100.0","252.70K","0.00","252.70K","100.0%","36.0","100.0%","1.2","7.5","0","92.24"
"MSTR","27%","7","28.6","452.44K","199.83K","252.62K","100.0%","31.0","28.6%","15.4","0.2","0","97.54"
"SI","37%","11","45.5","432.09K","186.70K","245.39K","68.0%","59.5","45.5%","36.5","0.1","0","174.24"
"RIVN","82%","31","61.3","894.49K","662.68K","231.80K","66.0%","88.2","61.3%","22.7","0.8","0","89.26"
"SDGR","100%","9","66.7","326.32K","96.53K","229.80K","-963.9%","80.3","11.1%","26.9","1.7","0","73.04"
"ADI","80%","4","75.0","334.86K","108.68K","226.18K","100.0%","95.5","75.0%","4.8","3.0","0","32.6"
"BEKE","100%","6","66.7","325.82K","102.08K","223.75K","100.0%","68.7","66.7%","5.5","4.0","0","64.72"
"SEDG","55%","6","66.7","1.23M","1.01M","222.91K","-4.7%","144.5","50.0%","15.7","0.8","0","69.59"
"JD","20%","5","60.0","282.19K","62.70K","219.49K","-9.0%","52.8","60.0%","-2.1","0.3","0","47.91"
"SHEL","20%","3","100.0","217.37K","0.00","217.37K","100.0%","150.3","100.0%","9.7","1.4","0","25.57"
"GFS","100%","5","100.0","214.23K","0.00","214.23K","100.0%","111.6","100.0%","28","6.3","0","42.83"
"PLTR","64%","9","66.7","302.81K","91.84K","210.97K","-116.1%","172.9","55.6%","24.6","0.2","0","74.29"
"GEO","100%","6","83.3","222.42K","27.38K","195.04K","100.0%","72.2","66.7%","0","4.0","0","57.2"
"DD","80%","4","100.0","189.55K","0.00","189.55K","100.0%","130.5","100.0%","-1.6","2.2","0","25.44"
"PEP","60%","15","26.7","678.00K","489.83K","188.17K","27.4%","73.8","20.0%","-0.1","0.5","0","17.92"
"BA","44%","31","48.4","1.52M","1.34M","177.55K","78.1%","123.4","48.4%","9.9","0.4","0","35.04"
"SMCI","73%","16","62.5","639.32K","462.16K","177.16K","-505.3%","27.7","62.5%","11.6","3.6","0","65.58"
"LLY","71%","5","60.0","288.55K","112.82K","175.73K","51.6%","55.6","60.0%","3.8","0.4","0","23.11"
"XOM","36%","21","33.3","1.02M","851.94K","172.41K","59.3%","115.0","33.3%","1.6","0.3","0","29.55"
"XOP","45%","5","20.0","337.50K","169.40K","168.10K","80.8%","43.0","20.0%","2.8","0.2","0","37.68"
"SOUN","100%","6","83.3","236.52K","76.32K","160.20K","-740.2%","8.0","83.3%","6.6","1.0","0","249.3"
"TBT","100%","5","60.0","229.53K","71.73K","157.79K","100.0%","23.4","60.0%","-1.9","15.0","0","34.92"
"APPS","13%","2","50.0","187.50K","30.60K","156.90K","100.0%","417.5","50.0%","16.7","0.7","0","89.58"
"DKNG","56%","10","50.0","521.53K","366.04K","155.49K","20.4%","158.5","10.0%","0.7","0.1","0","89.93"
"DELL","56%","5","80.0","201.88K","47.26K","154.62K","100.0%","135.4","80.0%","0.1","20.0","0","40.24"
"INTC","43%","23","52.2","691.85K","543.56K","148.29K","-3349.0%","321.5","52.2%","14.6","0.6","0","35.76"
"VXX","100%","7","85.7","193.06K","45.75K","147.31K","-134.8%","42.0","57.1%","-3","2.2","0","65.85"
"SKX","29%","2","100.0","144.00K","0.00","144.00K","63.7%","8.0","100.0%","0.2","0.5","0","39.59"
"TWLO","92%","11","63.6","444.35K","307.87K","136.49K","-127.8%","163.9","54.5%","24.6","0.8","0","92.58"
"WBD","50%","4","75.0","181.05K","50.11K","130.94K","79.5%","9.8","75.0%","1.7","0.3","0","61.93"
"TGT","75%","6","50.0","566.29K","435.77K","130.52K","100.0%","17.3","50.0%","0.4","0.4","0","37.63"
"GOOGL","57%","475","44.6","18.04M","17.91M","128.75K","97.8%","103.0","44.6%","6.1","0.9","0","41.76"
"UNG","100%","8","50.0","333.99K","207.33K","126.66K","52.1%","95.5","50.0%","-2.2","0.4","0","86.31"
"APP","81%","17","70.6","562.78K","440.76K","122.02K","-150.2%","34.8","70.6%","-9.9","5.5","0","87.21"
"DOCU","50%","3","66.7","260.50K","139.43K","121.07K","100.0%","87.3","66.7%","-1.1","0.2","0","65.6"
"COOP","33%","2","100.0","120.92K","0.00","120.92K","-27.2%","53.5","100.0%","3.1","2.0","0","60.8"
"NKE","23%","3","66.7","157.87K","38.77K","119.10K","100.0%","78.0","66.7%","7.9","0.5","0","31.33"
"SPOT","29%","2","50.0","140.34K","25.50K","114.84K","81.4%","22.0","50.0%","1.6","0.1","0","51.73"
"COIN","29%","73","45.2","2.51M","2.39M","113.08K","100.0%","84.4","45.2%","20.5","0.2","0","128.37"
"STM","43%","3","66.7","154.10K","41.25K","112.85K","100.0%","26.7","66.7%","-4.6","1.4","0","40.83"
"ANET","83%","5","80.0","224.51K","117.60K","106.91K","100.0%","41.6","80.0%","5.5","1.5","0","38.9"
"EMR","29%","2","100.0","106.74K","0.00","106.74K","100.0%","190.0","100.0%","8.8","2.5","0","23.84"
"T","45%","5","60.0","167.67K","61.25K","106.42K","0.0%","209.6","60.0%","11.7","0.7","0","22.45"
"CZR","80%","4","50.0","249.00K","145.50K","103.50K","100.0%","16.8","50.0%","5.4","0.7","0","57.55"
"NEM","55%","12","66.7","354.50K","253.72K","100.78K","29.5%","80.3","66.7%","4.7","0.9","0","36.73"
